Error for realdata\meta.csv : -1.5710702452906626  Time : 0:00:46.578224 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\meta.csv : -0.89159503977968  Time : 0:01:18.961540 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\meta.csv : -0.4574331678685276  Time : 0:01:16.156177 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\meta.csv : -0.25825562211373293  Time : 0:01:15.807036 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\meta.csv : -1.3634353612960557  Time : 0:01:15.708130 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\meta.csv : -1.5849536465699248  Time : 0:01:18.072907 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\meta.csv : -4.395852249249648  Time : 0:01:18.390548 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\Moneyball.csv : 0.893378056121564  Time : 0:01:01.192905 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\Moneyball.csv : 0.8798212935287516  Time : 0:01:00.685486 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\Moneyball.csv : 0.897636834858122  Time : 0:01:01.097215 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\Moneyball.csv : 0.8758509262189886  Time : 0:01:01.715511 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\Moneyball.csv : 0.8969967642719565  Time : 0:01:02.590343 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\Moneyball.csv : 0.8735838132849658  Time : 0:01:03.814088 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\Moneyball.csv : 0.8912580754823812  Time : 0:02:00.926013 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\Moneyball.csv : 0.8714443063725869  Time : 0:02:00.968652 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\Moneyball.csv : 0.8891176847515213  Time : 0:02:03.096781 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\Moneyball.csv : 0.8689827864957502  Time : 0:02:04.033214 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\Moneyball.csv : 0.8951842722563803  Time : 0:02:06.473130 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\Moneyball.csv : 0.8705116838139668  Time : 0:02:05.091287 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\pbcseq2.csv : 0.7910519815231181  Time : 0:01:40.243214 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\pbcseq2.csv : 0.7851848350117063  Time : 0:01:41.451837 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\pbcseq2.csv : 0.7794113769787979  Time : 0:01:41.463013 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\pbcseq2.csv : 0.7773857659576751  Time : 0:01:41.386160 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\pbcseq2.csv : 0.7831624276904264  Time : 0:01:45.817649 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\pbcseq2.csv : 0.7824695343093431  Time : 0:01:45.819591 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\pbcseq2.csv : 0.7788979815581778  Time : 0:03:26.234737 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\pbcseq2.csv : 0.7799369176758054  Time : 0:03:51.246961 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\pbcseq2.csv : 0.784828193096711  Time : 0:03:37.148006 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\pbcseq2.csv : 0.7797950407024323  Time : 0:03:36.301138 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\pbcseq2.csv : 0.7801473205369875  Time : 0:04:13.991681 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\pbcseq2.csv : 0.7876562977397003  Time : 0:03:43.532982 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\schizo.csv : 0.5687832772662494  Time : 0:00:18.514147 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\schizo.csv : 0.5765714419739187  Time : 0:00:18.163383 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\schizo.csv : 0.5640627945755654  Time : 0:00:19.014965 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\schizo.csv : 0.5948595223575873  Time : 0:00:19.593614 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\schizo.csv : 0.5921498739049048  Time : 0:00:19.302825 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\schizo.csv : 0.5924571818360518  Time : 0:00:19.323383 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\schizo.csv : 0.5435418090681249  Time : 0:00:36.854991 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\schizo.csv : 0.5557798825271736  Time : 0:00:37.860798 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\schizo.csv : 0.5925509434236215  Time : 0:00:36.801456 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\schizo.csv : 0.5548789503839814  Time : 0:00:38.047290 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\schizo.csv : 0.5870723572523108  Time : 0:00:38.727372 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\schizo.csv : 0.5824030692819393  Time : 0:00:38.371213 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\water-treatment.csv : 0.6019739087032233  Time : 0:00:30.333861 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\water-treatment.csv : 0.5800767455826559  Time : 0:00:30.916473 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\water-treatment.csv : 0.6034920420361426  Time : 0:00:30.886790 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\water-treatment.csv : 0.6008503131976053  Time : 0:00:29.860435 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\water-treatment.csv : 0.6020407344477599  Time : 0:00:35.835644 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\water-treatment.csv : 0.5820271521173724  Time : 0:00:35.304212 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\water-treatment.csv : 0.5959388389041085  Time : 0:01:07.562814 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\water-treatment.csv : 0.5748674486353849  Time : 0:01:03.026471 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\water-treatment.csv : 0.6060001581707972  Time : 0:01:05.531999 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\water-treatment.csv : 0.5825459817612515  Time : 0:01:05.766329 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\water-treatment.csv : 0.6091549054173526  Time : 0:01:09.482520 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\water-treatment.csv : 0.5793262298512328  Time : 0:01:08.817795 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\lymphoma_2classes.csv : 0.9133333333333333  Time : 0:52:14.824859 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\lymphoma_2classes.csv : 0.9333333333333333  Time : 0:26:32.644995 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\lymphoma_2classes.csv : 0.9333333333333333  Time : 0:27:23.833666 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\lymphoma_2classes.csv : 0.95  Time : 0:26:42.440613 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\lymphoma_2classes.csv : 0.9100000000000001  Time : 0:26:59.385862 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
